Team,Pos,Age,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season_End_Year,All_NBA_Target
CLE,SF,21.0,9.0,0.476,0.297,0.092,3.2,12.0,7.5,6.2,1.9,2.3,12.9,17.5,-0.8,0.5,-0.3,-0.016,-3.4,-0.6,-4.0,-0.5,2011,0
NJN,PG,24.0,14.1,0.504,0.467,0.154,1.5,10.1,5.7,34.9,1.8,0.3,16.7,21.6,0.8,1.0,1.9,0.05,0.8,-1.3,-0.4,0.7,2011,0
2TM,PF,19.0,13.9,0.542,0.0,0.416,12.9,19.1,16.0,4.2,1.0,3.5,13.5,17.1,1.5,1.4,2.9,0.091,-2.6,-0.6,-3.2,-0.5,2011,0
NYK,SG,22.0,13.5,0.598,0.364,0.244,4.7,18.9,11.7,9.0,1.6,0.5,13.8,13.5,3.4,1.8,5.3,0.1,0.6,-0.4,0.2,1.4,2011,0
LAL,PG,36.0,8.9,0.486,0.301,0.195,0.7,6.6,3.7,14.0,2.3,0.3,10.9,12.8,1.2,2.5,3.7,0.078,-3.2,1.3,-2.0,0.0,2011,0
MIN,PG,21.0,7.1,0.444,0.338,0.142,1.3,7.5,4.3,27.6,1.7,0.2,26.4,18.5,-1.6,0.2,-1.3,-0.064,-3.9,-2.4,-6.3,-1.1,2011,0
DEN,SF,25.0,11.7,0.524,0.212,0.319,4.2,12.5,8.5,9.7,1.5,0.6,12.9,20.1,0.3,0.7,0.9,0.055,-2.0,-0.8,-2.9,-0.2,2011,0
IND,PG,27.0,9.9,0.434,0.136,0.203,2.5,9.1,5.8,28.4,2.3,0.8,19.7,18.3,-0.7,0.8,0.2,0.011,-3.3,0.4,-2.9,-0.2,2011,0
IND,C,34.0,14.3,0.497,0.018,0.287,19.1,22.3,20.7,7.3,1.3,2.4,12.1,10.1,1.6,1.4,3.0,0.152,-0.6,0.1,-0.5,0.4,2011,0
LAC,SG,27.0,11.4,0.516,0.409,0.281,1.0,6.7,3.9,17.5,1.6,1.1,13.7,19.9,0.9,0.8,1.7,0.051,-1.1,-0.7,-1.8,0.1,2011,0
PHO,PF,27.0,12.8,0.557,0.53,0.129,3.0,20.4,11.7,5.7,0.9,2.3,7.7,16.9,2.7,2.1,4.7,0.09,-0.3,0.0,-0.3,1.1,2011,0
3TM,PG,24.0,11.3,0.459,0.362,0.343,4.9,10.0,7.4,22.8,2.8,0.3,18.3,22.1,-0.3,0.2,-0.1,-0.015,-2.8,-0.1,-2.9,-0.1,2011,0
BOS,PF,34.0,20.6,0.575,0.006,0.264,4.9,28.7,17.5,13.5,2.3,2.0,11.1,22.3,3.4,5.6,9.0,0.194,1.8,2.9,4.7,3.8,2011,0
MEM,C,26.0,16.8,0.58,0.01,0.425,7.1,19.4,13.1,11.6,1.5,4.3,15.1,16.9,4.0,3.9,7.9,0.146,0.3,2.0,2.3,2.8,2011,0
LAL,C,30.0,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,10.0,4.7,14.7,0.232,3.9,0.9,4.8,5.2,2011,2
MEM,SF,24.0,17.8,0.548,0.166,0.277,4.5,14.2,9.3,11.6,2.2,2.2,12.2,23.3,2.7,2.9,5.5,0.123,1.9,0.8,2.8,2.6,2011,0
3TM,SG,23.0,10.8,0.544,0.193,0.348,6.2,12.7,9.3,5.4,1.8,1.2,15.3,14.5,0.5,0.6,1.0,0.045,-2.1,-0.4,-2.5,-0.1,2011,0
IND,SG,20.0,13.0,0.542,0.349,0.256,3.3,16.3,9.8,8.3,2.5,1.5,13.7,17.8,0.5,1.9,2.4,0.091,-1.6,1.4,-0.1,0.6,2011,0
CLE,SG,24.0,13.2,0.533,0.444,0.247,1.4,9.7,5.5,18.3,1.3,0.9,9.9,19.7,2.0,0.4,2.4,0.062,0.3,-0.7,-0.4,0.8,2011,0
CHI,PF,25.0,14.3,0.502,0.016,0.295,11.2,19.4,15.4,5.3,1.2,4.6,11.1,16.8,1.4,3.8,5.2,0.143,-2.2,1.4,-0.9,0.5,2011,0
LAC,SF,28.0,9.0,0.504,0.418,0.168,3.4,10.7,7.1,8.5,1.5,0.4,9.2,12.7,1.3,1.2,2.5,0.057,-2.1,0.0,-2.1,-0.1,2011,0
MIL,PF,29.0,15.9,0.487,0.055,0.282,9.6,22.9,16.1,10.3,1.3,1.6,10.2,24.6,0.3,1.5,1.8,0.101,-1.2,0.2,-1.0,0.2,2011,0
DET,SG,27.0,12.4,0.548,0.345,0.208,2.2,9.3,5.6,13.2,1.2,0.6,14.4,21.5,1.3,0.3,1.7,0.037,-0.6,-1.9,-2.5,-0.3,2011,0
LAC,SG,22.0,18.5,0.566,0.307,0.367,2.5,6.6,4.5,20.7,1.7,0.7,12.0,26.5,4.2,1.1,5.3,0.12,3.0,-1.0,2.0,2.2,2011,0
2TM,C,26.0,17.8,0.594,0.007,0.32,8.5,27.4,18.0,5.5,0.9,3.3,10.5,17.1,3.7,2.7,6.4,0.152,0.2,0.7,0.9,1.5,2011,0
CLE,SF,28.0,7.7,0.518,0.168,0.201,1.5,15.3,8.2,5.2,0.5,0.9,12.6,17.2,-0.2,0.1,0.0,-0.004,-4.5,-1.3,-5.8,-0.6,2011,0
NJN,SG,28.0,4.4,0.457,0.105,0.19,2.0,13.4,7.6,6.5,0.8,0.1,14.9,12.3,-0.7,0.4,-0.3,-0.014,-5.8,-1.0,-6.8,-1.2,2011,0
